117	5	Food & Drink	Tough Jerky	433	Food	Tough Jerky | Use: Restores 58 health over 18 sec.  Must remain seated while eating.
118	1	Potions	Minor Healing Potion	439	Healing Potion	Minor Healing Potion | Use: Restores 70 to 90 health.
159	5	Food & Drink	Refreshing Spring Water	430	Drink	Refreshing Spring Water | Use: Restores 145 mana over 18 sec.  Must remain seated while drinking.
414	5	Food & Drink	Dalaran Sharp	434	Food	Dalaran Sharp | Use: Restores 234 health over 21 sec.  Must remain seated while eating. | Requires Level 5
422	5	Food & Drink	Dwarven Mild	435	Food	Dwarven Mild | Use: Restores 530 health over 24 sec.  Must remain seated while eating. | Requires Level 15
724	5	Food & Drink	Goretusk Liver Pie	1248384	Nutritious Food	Goretusk Liver Pie | Use: Restores 234 health over 21 sec.  Must remain seated while eating. If you spend at least 10 seconds eating you will become well fed and gain 3 Strength for 15 min. Additionally, experience gained from kills is increased by 5%. (1 |4Sec:Sec; Cooldown) | Requires Level 5
733	5	Food & Drink	Westfall Stew	1248687	Nutritious Food	Westfall Stew | Use: Restores 234 health over 21 sec.  Must remain seated while eating. If you spend at least 10 seconds eating you will become well fed and gain 15% movement speed while in Westfall for 15 min. Additionally, experience gained from kills is increased by 5%. (1 |4Sec:Sec; Cooldown) | Requires Level 5
761	8	Other	Deprecated Elwynn Trout	433	Food	Deprecated Elwynn Trout | Use: Restores 58 health over 18 sec.  Must remain seated while eating.
787	5	Food & Drink	Slitherskin Mackerel	1249503	Nutritious Food	Slitherskin Mackerel | Use: Restores 234 health over 21 sec.  Must remain seated while eating. If you spend at least 10 seconds eating you will become well fed and gain 6 Attack Power for 15 min. Additionally, experience gained from kills is increased by 5%. (1 |4Sec:Sec; Cooldown)
835	8	Other	Large Rope Net	8312	Trap	Large Rope Net | Binds when picked up | Use: Renders a target unable to move for 10 sec. | Requires Level 2
836	8	Other	Deprecated Heavy Net	nil	nil	Deprecated Heavy Net | Requires Level 5
858	1	Potions	Lesser Healing Potion	440	Healing Potion	Lesser Healing Potion | Use: Restores 140 to 180 health. | Requires Level 3
929	1	Potions	Healing Potion	441	Healing Potion	Healing Potion | Use: Restores 280 to 360 health. | Requires Level 12
951	8	Other	Tome of Whirlwind (TEST)	nil	nil	Tome of Whirlwind (TEST) | Classes: Warrior
954	4	Scrolls	Scroll of Strength	8118	Strength	Scroll of Strength | Use: Increases the target's Strength by 5 for 30 min. (1 |4Sec:Sec; Cooldown) | Requires Level 10
955	4	Scrolls	Scroll of Intellect	8096	Intellect	Scroll of Intellect | Use: Increases the target's Intellect by 4 for 30 min. (1 |4Sec:Sec; Cooldown) | Requires Level 5
961	5	Food & Drink	Healing Herb	433	Food	Healing Herb | Use: Restores 58 health over 18 sec.  Must remain seated while eating.
